이슈,원인,원인 소분류,원인 대분류,조치결과,조치결과상세,로봇분류
로봇기술팀 조용경 차장과 협의후 교체충전중이예로 안 넘어감,로봇 에러(재부팅 필요),HW / 라이다 센서,로봇문제(HW),로봇교체(HW),로봇교체,"방역로봇 충전기,서빙로봇"
로봇껒져있고몇일째 사용안함,문의성,HW / 충전스테이션,로봇문제(HW),충전스테이션 불량복구(HW),로봇꺼져있음,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
로봇단말교체,3D 카메라(전면) 불량,HW / 3D 카메라(전면),로봇문제(HW),로봇교체(HW),단말불량교체,베어 서빙로봇
로봇동선수정,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 보정(설정),,베어 서빙로봇
로봇동작느림,"자율주행 오류(멈춤, 금지구역침범 등)",설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",목적지(피자) 위치수정 및 테스트,베어 서빙로봇
로봇들끼리 엉킴 멀티서빙 안됨긴급조치요청,로봇 에러(재부팅 필요),HW / 헤더부 터치버튼,로봇문제(HW),리부팅(HW),C로봇 재부팅,베어 서비스로봇2 임대형
로봇멀티운용 오류,로봇 에러(재부팅 필요),SW / 자율주행,로봇문제(SW),멀티로봇/줄서기오류 등 개선(SW),장애물오류밈 맵오류 재설정,베어 서빙로봇
로봇멈추고 움직이지않음,전원부 불량,HW / 배터리,로봇문제(HW),배터리 불량복구(HW),고객사 로봇배터리 방전,베어 서빙로봇
로봇멈춤,기타,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),리부팅(HW),"정지확인,고객통보",LG 서빙로봇
로봇몸제바퀴클렌징,수동조작에 따른 맵 정보 불일치,설치 / 로봇 내부 설정,고객환경(변화),속도조정(설정),로봇바디바퀴클리닝,베어 서빙로봇
로봇무게센서 작동 불,비고장,HW / 라이다 센서,로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),무게센서 오작동,베어 서빙로봇
로봇바로리턴,고객 조작 미숙,HW / 터치패널,로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),상세설정오류,베어 서빙로봇
로봇방역구간 테스트,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",방역구간 오류,베어로봇틱스 임대형 방역로봇
로봇보드 전원연결짹불량,전원부 불량,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),보드전원잭교체,LG 서빙로봇
로봇부팅불량교체요청,모터 불량,HW / 모터,로봇문제(HW),로봇교체(HW),서빙로봇교체,베어 서빙로봇
로봇부팅오류 초기화오류,로봇 에러(재부팅 필요),HW / 전원부,로봇문제(HW),로봇교체(HW),임시교체수리,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
로봇부팅오류 초기화오류,로봇 에러(재부팅 필요),HW / 전원부,로봇문제(HW),로봇교체(HW),임시교체수리,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
로봇불량,USIM 실장 오류,HW / USIM,로봇문제(HW),기타(외부시스템),로봇교체,베어로봇틱스 임대형 방역로봇
로봇불량,전원부 불량,HW / 전원부,로봇문제(HW),로봇교체(HW),단말불량,베어 서빙로봇
로봇불량,로봇 에러(재부팅 필요),SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),,베어 서빙로봇
로봇불량 교체,TX2(HW 센서구동부 보드) 불량,HW / TX2(HW 센서/구동부 보드),로봇문제(HW),로봇교체(HW),로봇 불량으로 교체,"방역로봇 충전기,베어로봇틱스 임대형 방역로봇"
로봇불량 교체,전원부 불량,HW / 배터리,로봇문제(HW),로봇교체(HW),,베어 서빙로봇
로봇불량 대체품교체,로봇 에러(재부팅 필요),LTE / 실내,로봇문제(HW),리부팅(HW),충전오류,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
로봇불량 신규교체,(방역)플라즈마 공기살균기 불량,HW / (방역)플라즈마 공기살균기,로봇문제(HW),로봇교체(HW),특수수요 AS교체,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
로봇불량 특수수요 AS교체,비고장,문의성 / 기술상담,고객사용법,자연회복(자연회복),문의성,베어 서빙로봇
로봇불량교체,바퀴 불량,HW / 바퀴,로봇문제(HW),로봇교체(HW),로봇불량교체,베어 서비스로봇2 임대형
로봇불량교체,전원부 불량,HW / 전원부,로봇문제(HW),로봇교체(HW),,베어 서빙로봇
로봇불량교체,Xavier(SW응용부 보드) 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),로봇불량교체 판정,베어 서빙로봇
로봇불량교체,모터 불량,HW / TX2(HW 센서/구동부 보드),로봇문제(HW),로봇교체(HW),로봇교체,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
로봇불량교체요청,모터 불량,SW / 자율주행,로봇문제(SW),Xavier(SW응용부 보드) 불량복구(HW),소프웨어불량 교체요청,베어 서빙로봇
로봇불량으로 교체,3D 카메라(전면) 불량,HW / 3D 카메라(전면),로봇문제(HW),로봇교체(HW),로봇 불량으로 교체,베어 서빙로봇
로봇불량으로인한교체,라이다 센서 불량,HW / 라이다 센서,로봇문제(HW),로봇교체(HW),로봇교체,베어 서빙로봇
로봇불량판정,부팅오류/반복적인 재부팅,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),로봇교체(HW),로봇불량교체,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
로봇불량판정으로 교체 작업,트레이/적재함 불량,HW / 트레이/적재함,로봇문제(HW),트레이/적재함 불량복구(HW),로봇불량 교체,베어 서비스로봇2 임대형
로봇서버접속불가,로봇 에러(재부팅 필요),와이파이 / 공유기,무선품질문제,리부팅(HW),로봇리부팅 네트웍재접속,베어 서빙로봇
로봇서빙 간혹 동작불량,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",,베어 서빙로봇
로봇설변이동중 로봇고장 발생(프론트카메라불량) 교체요청,3D 카메라(전면) 불량,HW / 3D 카메라(전면),로봇문제(HW),로봇교체(HW),로봇 불량으로 인한교체,베어 서빙로봇
로봇액정불량 교체,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),,베어 서비스로봇2 임대형
로봇액정파손으로 수리의뢰,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),액정 파손으로 교체,베어 서비스로봇2 임대형
로봇업데이트 후 멀티로봇 불량,매장 내 테이블 배치 변경,SW / 자율주행,로봇문제(SW),멀티로봇/줄서기오류 등 개선(SW),,LG 서빙로봇 판매
로봇에러,TX2(HW 센서구동부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),로봇교체(HW),로봇교체,베어 서빙로봇
로봇에러,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 보정(설정),위치잃어버림,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
로봇에러,인스톨러(맵셋팅) 오류,설치 / 맵 설정,고객환경(변화),맵 보정(설정),맵 수정,LG 서비스로봇2 임대형
로봇에러코드발생002  cs004,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 자율주행,로봇문제(SW),자연회복(자연회복),로봇에러발생,베어 서빙로봇
로봇오동작 방문점검요청,매장 내 신규 장애물 발생,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",제품마커 위치변경,LG 서빙로봇 판매
로봇오류,고객 조작 미숙,HW / 터치패널,로봇문제(HW),서비스 매니저(서빙/방역 등서비스)로직개선(SW),,LG 서빙로봇
로봇오류가많음,매장 내 테이블 배치 변경,SW / 서비스매니저(서빙/방역 서비스처리),고객환경(변화),기타(외부시스템),맵다시그림,베어로봇틱스 임대형 방역로봇
로봇오작동,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 보정(설정),로봇위치잃어버림,베어 서빙로봇
로봇오작동 교체건,로봇 에러(재부팅 필요),HW / 라이다 센서,로봇문제(HW),로봇교체(HW),오작동 로봇교체,베어 서빙로봇
로봇와이파이 불안머뭇거림,로봇 설정 미흡,설치 / 로봇 내부 설정,고객환경(변화),멀티로봇/줄서기오류 등 개선(SW),와이파이설정 재조정등,LG 서빙로봇 판매
로봇와이파이 점검 요청,공유기 불량,와이파이 / 공유기,무선품질문제,공유기 불량복구(HW),와이파이점검,베어 서빙로봇
로봇완전방전,비고장,설치 / 로봇 내부 설정,고객환경(변화),자연회복(자연회복),담당직원교체로 사용법교육,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
로봇운행 불가,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",전체적 위치변화로 전체 재매핑,베어 서빙로봇
로봇운행 이상증상,"자율주행 오류(멈춤, 금지구역침범 등)",HW / 3D 카메라(전면),로봇문제(HW),이물질 제거(라이다/카메라/터치스크린/ 바퀴 등)(환경),,베어 서빙로봇
로봇운행불,공유기 불량,SW / 자율주행,로봇문제(SW),공유기 불량복구(HW),무선랜비활성,LG 서빙로봇 판매
로봇운행불가,관성 센서 불량,HW / 관성 센서,로봇문제(HW),관성 센서 불량복구(HW),범퍼센서 충돌 해소 위치조정,LG 서빙로봇 판매
로봇운행불가,Xavier(SW응용부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),로봇교체(HW),som보드교체,LG서빙로봇(고객)
로봇운행불가,로봇 에러(재부팅 필요),설치 / 로봇 내부 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
로봇운행불가원격접속불가,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),위치잃어버림 와이파이 접속끊김,베어 서빙로봇
로봇운행에러,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),로봇주행에러로 지도 재맵핑,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
로봇운행오류,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",바닥상태불량 완화구역설정,베어 서빙로봇
로봇위치 잃음,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 보정(설정),맵수정,베어 서빙로봇
로봇위치 조정 요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),양호,베어 서빙로봇
로봇위치 테이블 쪽으로 최대한 붙어서 해달라고 함,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),,베어 서빙로봇
로봇위치이탈,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),로봇점검,베어 서빙로봇
로봇위치잃어버림,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 보정(설정),고정장애물변경,베어 서빙로봇
로봇위치잃어버림,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),로봇위치잃어버림,베어 서빙로봇
로봇위치잃음,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",대기장소 픽업포인트 재배치,베어 서비스로봇2 임대형
로봇유심케이스 불량,외장케이스 파손,HW / 외장케이스,로봇문제(HW),로봇교체(HW),유심장착케이스파손 교체,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
로봇이  켜지지 않음,충전스테이션 불량,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),Xavier(SW응용부 보드) 불량복구(HW),소프트웨어 부팅에러,"서빙로봇,방역로봇 충전기"
로봇이 개통이 필요합니다 라는 메세지 나옴,공유기 환경 설정오류,와이파이 / 공유기,무선품질문제,공유기 환경 설정 개선(WiFi),와이파이 비번변경으로 재접속,LG서빙로봇(POC)
로봇이 길을 잃음,문의성,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),무게센서 재설정(설정),이사온지 얼마안됨,베어 서빙로봇
로봇이 대기 장소에서 앞으로 밀려 나와요점검 해 주세요,"멀티로봇 오류, 줄서기오류 등",SW / 자율주행,로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",다운그레이드,베어 서빙로봇
로봇이 대기장소로 안옴,매장 내 테이블 배치 변경,SW / 서비스매니저(서빙/방역 서비스처리),고객환경(변화),"S/W, F/W 업그레이드 적용(설정)",맵다시그림,베어 서빙로봇
로봇이 마크인식했는데 오류가 발생하니 점검 요청,자연회복,설치 / 로봇 내부 설정,고객환경(변화),자연회복(자연회복),버젼업완료로 회복,
로봇이 멈춰서서 안감확인요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),탁자가 밀려서 원상복구로 회복,베어 서빙로봇
로봇이 문밖에 나감,자연회복,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),자연회복(자연회복),사용미숙,LG 서빙로봇 판매
로봇이 미동작 함,로봇 설정 미흡,설치 / 로봇 내부 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),양호,베어 서빙로봇
로봇이 반복적으로 껏다켜진다함,자연회복,HW / 전원부,로봇문제(HW),자연회복(자연회복),전원케이블 빠짐,베어 서빙로봇
로봇이 방향을 못찾고 장애물 있다고 뜸,비고장,문의성 / 기타,#N/A,,위치재배치 후 정상,베어 서빙로봇
로봇이 스탠바이 위치로 이동후 목적지 이동 현상 발생,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",멀티로봇 스탠바이 위치 변경,베어 서빙로봇
로봇이 안움직임,문의성,SW / 자율주행,로봇문제(SW),자연회복(자연회복),양호,LG 서빙로봇
로봇이 안켜짐,전원부 불량,HW / 전원부,로봇문제(HW),로봇교체(HW),,"서빙로봇,방역로봇 충전기"
로봇이 야채코너 주변에서 멈칫거림,매장 내 테이블 배치 변경,문의성 / 기술상담,고객사용법,맵 보정(설정),속도 감속조정 및 주행노드 변경,LG 서빙로봇 판매
로봇이 엉뚱한 곳으로 감,매장 내 테이블 배치 변경,SW / 자율주행,로봇문제(SW),장애물 제거(환경),맵수정,LG서빙로봇(고객)
로봇이 엉뚱한데로 감,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),멀티로봇 맵수정 경로수정 등,LG 서빙로봇 판매
로봇이 운행중 벽에  붙어 가는 현상,충돌,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),양호,LG 서비스로봇2 임대형
로봇이 움직이지 않고 빙글빙글 돌기만함,로봇 설정 미흡,설치 / 로봇 내부 설정,고객환경(변화),인스톨러 개선(SW),주행설정 변경,LG서빙로봇(고객)
로봇이 위치를 못찾음,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 자율주행,로봇문제(SW),자연회복(자연회복),재배치 장소에서 재배치함.원격지윈,베어 서빙로봇
로봇이 이동하지 못함,"맵핑오류, 라이다 틀어짐",SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),로봇위치틀어짐,베어 서빙로봇
로봇이 자주 멈춤현상,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 자율주행,로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",최신버전으로 버전업,LG 서비스로봇2 임대형
로봇이 장애물 인식시 멈추는현상특정테이블 서빙오류발생,"자율주행 오류(멈춤, 금지구역침범 등)",설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),,베어 서빙로봇
로봇이 전원도 안들어오고 안켜져요,"자율주행 오류(멈춤, 금지구역침범 등)",설치 / 맵 설정,고객환경(변화),맵 보정(설정),맵수정,"서빙로봇,서빙로봇 충전기"
로봇이 전혀 안움직임,TX2(HW 센서구동부 보드) 불량,HW / TX2(HW 센서/구동부 보드),로봇문제(HW),TX2 불량복구(HW),NAVI보드 칩셋 교체,LG서빙로봇(POC)
로봇이 제멋대로 돌아다닌다함,로봇 에러(재부팅 필요),로봇플랫폼 / Robot Makers(로봇플랫폼),로봇플랫폼,리부팅(HW),로봇재부팅후양호,베어 서비스로봇2 임대형
로봇이 제자리에서 맴돔,트레이조명 불량,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),구동부조명 불량복구(HW),초기화,LG 서비스로봇2 판매형
로봇이 출발하지 않고 멈춰있음,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),sw 자율주행 문제발생맵설정변경,베어 서빙로봇
로봇이 출입문 통과시 부자연스럽고 멈칫거림 심함 서빙포인트 정지 오차 발생,"자율주행 오류(멈춤, 금지구역침범 등)",설치 / 맵 설정,고객환경(변화),맵 보정(설정),맵 수정 후 정상,LG 서빙로봇 판매
로봇이 충전소에서 미동작함,로봇 에러(재부팅 필요),설치 / 로봇 내부 설정,고객환경(변화),리부팅(HW),"로봇재재구동,충전소재배치,무게센서초기화",베어 서빙로봇
로봇이 터치가 안되요,자연회복,HW / 긴급정지버튼(상단),기타,자연회복(자연회복),양호,LG서빙로봇(POC)
로봇이 테이블까지 못가요,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),노드조정 및 금지구역 재설정,LG 서빙로봇 판매
로봇이 통통튀고 이상함 점검요청,바퀴 불량,HW / 바퀴,로봇문제(HW),바퀴 불량복구(HW),바퀴이물질제거 및 소프트웨어 업그레이드,베어 서빙로봇
로봇이동불,"맵핑오류, 라이다 틀어짐",SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),위치이탈 재수정 완료,LG서빙로봇(고객)
로봇이동시 장애발생,"자율주행 오류(멈춤, 금지구역침범 등)",HW / 라이다 센서,로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),로봇 장애,베어 서빙로봇
로봇이상,USIM 실장 오류,HW / USIM,로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),로폿불량,"방역로봇 충전기,베어로봇틱스 임대형 방역로봇"
로봇이상동작,"맵핑오류, 라이다 틀어짐",SW / 자율주행,로봇문제(SW),기타(외부시스템),로봇 동작등 부자연스럽고 이상동작이 짖음,"서빙로봇,서빙로봇 충전기"
로봇이상동작,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),로봇점검,베어 서빙로봇
로봇이상주행으로 점검요청,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 자율주행,로봇문제(SW),장애물 제거(환경),제조사 분석의뢰,베어 서빙로봇
로봇이용불가,고객 조작 미숙,HW / 터치패널,로봇문제(HW),이물질 제거(라이다/카메라/터치스크린/ 바퀴 등)(환경),고객사용미숙,베어 서빙로봇
로봇작동 불가,로봇 에러(재부팅 필요),와이파이 / 공유기,무선품질문제,리부팅(HW),wifi 오류로 재 접속,베어 서빙로봇
로봇작동 않됨,충전스테이션 불량,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),인스톨러 개선(SW),로봇 SW 다운그레이드 설치 완료,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
로봇작동되지않음,기타,SW / 자율주행,로봇문제(SW),장애물 제거(환경),운행안됨,베어 서빙로봇
로봇작동불가,문의성,SW / 자율주행,로봇문제(SW),자연회복(자연회복),위치잃어버림,LG서빙로봇(고객)
로봇작동붛,"호출벨/오더연동오류, 오더수행중 종료",외부시스템 / 기타,기타,기타(외부시스템),호출벨 작동불 스마트캐스트사 연결해드림,LG서빙로봇(POC)
로봇장애,기가지니 인사이드(음성인식처리) 오류,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),기타(외부시스템),서버오류,"서빙로봇,방역로봇 충전기"
로봇전원 껏다켜짐 반복적임,전원부 불량,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),전원아답터 접촉불,베어 서빙로봇
로봇전원불,비고장,HW / 전원부,로봇문제(HW),자연회복(자연회복),충전방법안대,베어 서빙로봇
로봇전원이 안들어옴,고객 조작 미숙,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),자연회복(자연회복),사용미숙,LG 서빙로봇 판매
로봇점검,UI/UX 오류(LCD 화면 표기),HW / (방역)전면 히든 상태표시,로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),로봇불량 교체,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
로봇점검,로봇 설정 미흡,설치 / 로봇 내부 설정,고객환경(변화),인스톨러 개선(SW),버젼업,베어 서빙로봇
로봇점검 및 버젼업,로봇 설정 미흡,설치 / 로봇 내부 설정,고객환경(변화),인스톨러 개선(SW),로봇점검 및 버젼업,베어 서비스로봇2 판매형
로봇점검 및 버젼업,로봇 설정 미흡,설치 / 로봇 내부 설정,고객환경(변화),인스톨러 개선(SW),로봇 점검 및 버젼업,베어 서빙로봇
로봇점검요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),테이블변경으로 맵 수정,LG 서빙로봇 판매
로봇점검요청,문의성,문의성 / 기술상담,고객사용법,조작법 안내(고객),사용법 재설명,LG 서빙로봇 판매
로봇점검요청,매장 내 테이블 배치 변경,SW / 자율주행,로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",SW교체,베어 서빙로봇
로봇주행 이상,기타,SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),센서오류 재설정,LG 서빙로봇
로봇주행불가,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),로봇위치잃어버림,베어로봇틱스 임대형 방역로봇
로봇주행불가,비고장,HW / 배터리,로봇문제(HW),자연회복(자연회복),방전,베어 서빙로봇
로봇주행불가,로봇 에러(재부팅 필요),HW / 트레이/적재함,로봇문제(HW),트레이/적재함 불량복구(HW),,베어 서빙로봇
로봇주행오류,"자율주행 오류(멈춤, 금지구역침범 등)",HW / 3D 카메라(전면),로봇문제(HW),3D 카메라(전면) 불량복구(HW),카메라 이물질 제거,베어 서빙로봇
로봇주행이상,"자율주행 오류(멈춤, 금지구역침범 등)",HW / 3D 카메라(전면),로봇문제(HW),이물질 제거(라이다/카메라/터치스크린/ 바퀴 등)(환경),tof센서오염,LG 서비스로봇2 판매형
로봇주행중 멈춤현상,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),468336,LG서빙로봇(POC)
로봇주행테스트,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",로봇주행테스트,LG서빙로봇(POC)
로봇초기불량으로인한로봇교체,"자율주행 오류(멈춤, 금지구역침범 등)",HW / 라이다 센서,로봇문제(HW),로봇교체(HW),로봇교체,베어 서빙로봇
로봇초기화에러,로봇 에러(재부팅 필요),설치 / 로봇 내부 설정,고객환경(변화),리부팅(HW),파워재부팅,"방역로봇 충전기,베어로봇틱스 임대형 방역로봇"
로봇초기화오류개통이필요합니다,비고장,비고장 / 기타,기타,,정지로인한 서비스중지,LG 서비스로봇2 판매형
로봇충전불가,충전스테이션 불량,HW / 충전스테이션,로봇문제(HW),충전스테이션 불량복구(HW),아답터 접촉불량,베어 서빙로봇
로봇충전상태오류,로봇 에러(재부팅 필요),HW / 전원부,로봇문제(HW),충전스테이션 불량복구(HW),로봇충전방법오류,LG 서빙로봇 판매
로봇충전안됨,전원부 불량,HW / 전원부,로봇문제(HW),로봇교체(HW),로봇충전포트고장으로 긴급교체,LG 서비스로봇2 임대형
로봇충전안됨,전원부 불량,HW / 전원부,로봇문제(HW),충전스테이션 불량복구(HW),리부팅 및전기코드 재접속,LG 서비스로봇2 임대형
로봇케어 감지안되어 활용 못 함,라우터 불량,와이파이 / 인터넷 품질,무선품질문제,라우터 불량복구(HW),인터넷 장애 처리,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
로봇클리닝,비고장,HW / 바퀴,로봇문제(HW),이물질 제거(라이다/카메라/터치스크린/ 바퀴 등)(환경),"충전장소에 바퀴 자국발생,바퀴 클리닝",베어 서빙로봇
로봇클리닝,비고장,HW / 바퀴,로봇문제(HW),이물질 제거(라이다/카메라/터치스크린/ 바퀴 등)(환경),충전장소 바퀴 자국으로 바퀴 클리닝,베어 서빙로봇
로봇터치스크린 동작불,로봇 에러(재부팅 필요),SW / UI/UX(LCD 화면표기),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",sw버전교체,베어 서빙로봇
로봇특수수요 요청및 교체작업,Xavier(SW응용부 보드) 불량,설치 / 로봇 내부 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),로봇불량교체,베어 서빙로봇
로봇특수수요 요청및 교체작업,Xavier(SW응용부 보드) 불량,설치 / 로봇 내부 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),로봇불량교체,베어 서빙로봇
로봇플라스틱바디 이음새부분 실리콘 패킹 떨어짐,외장케이스 파손,HW / 외장케이스,로봇문제(HW),외장케이스 교체(HW),로봇 케이스 수리,베어 서빙로봇
로봇호출 동작불량,"호출벨/오더연동오류, 오더수행중 종료",외부시스템 / 기타,기타,기타(외부시스템),호출벨루핑정비,베어 서비스로봇2 임대형
로봇화면에  충돌감지에러  계속발생,관성 센서 불량,HW / 관성 센서,로봇문제(HW),관성 센서 불량복구(HW),범퍼센스 휘어짐으로  재조정후  정상작동(서비스 센터직원  동해),LG 서빙로봇 판매
로봇화면터치 불재부팅 위치마커 인식 실패,3D 카메라(전면) 불량,HW / 3D 카메라(전면),로봇문제(HW),3D 카메라(전면) 불량복구(HW),UI화면 간헐적 터치 불RGB카메라#1 이상 의심전원ON/OFF 2회 실시후 정상,LG 서빙로봇 판매
로봇h/w 점검요청,Xavier(SW응용부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),교체,LG 서빙로봇 판매
로봇hw불량,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),,LG 서빙로봇 판매
로봇swap액정꺼짐,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),액정불량교체,베어 서빙로봇
로봇SWAP판정 교체,기타,HW / 공유기,무선품질문제,로봇교체(HW),SWAP교체완료,베어 서빙로봇
로봇swap판정으로 인한 로봇교체작업,TX2(HW 센서구동부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),로봇교체(HW),부팅 불가 로봇 교체,베어 서비스로봇2 임대형
롯봇 동작안하고 위치 수정요청,로봇 에러(재부팅 필요),SW / UI/UX(LCD 화면표기),로봇문제(HW),리부팅(HW),상태 양호,베어 서빙로봇
롯봇이 안움직임,비고장,자연회복 / 자연회복,기타,자연회복(자연회복),요금미납 비활성화,베어 서빙로봇
룸 증설로 추가서빙지역 작업요청,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 보정(설정),매장 증설로 맵 추가작업,LG 서빙로봇 판매
룸 진입시 충돌 위험,"자율주행 오류(멈춤, 금지구역침범 등)",설치 / 맵 설정,고객환경(변화),"S/W, F/W 업그레이드 적용(설정)",펌웨어 업그레이드 및 노드 수정,LG 서빙로봇 판매
룸 진입시 충돌위험,"자율주행 오류(멈춤, 금지구역침범 등)",설치 / 맵 설정,고객환경(변화),"S/W, F/W 업그레이드 적용(설정)",펌웨어 업그레이드 및 노드 수정,LG 서빙로봇 판매
리모델링 후 방문요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),리모델링 후 맵 수정,베어 서빙로봇
리모델링 후 재맵피 희망,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",무선충전 위치 재배치,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
