이슈,원인,조치결과
베어로보  usb교체 및 주행테스트,베어로보  usb교체 및 주행테스트,테이블위치변경으로 목적지수정. usb교체
베어서빙로봇멈춤장애,베어서빙로봇멈춤장애,usb교체 후 정상동작
로봇 이상 동작,로봇 이상 동작,재부팅 후 회복
무트래픽 방문케어,무트래픽 방문케어,무트래픽 방문점검
WiFi연결 않됨,WiFi연결 않됨,WiFi단말 교체의한 네트워크 재설정
테이블 주행중 멈춤,테이블 주행중 멈춤,
서빙시 음식내리기전에 복귀함,서빙시 음식내리기전에 복귀함,순회오드로운영중 서빙
멀티운용 안됨,멀티운용 안됨,3멀티운용 불량
화면 글씨 적음,화면 글씨 적음,
충전 안됨,충전 안됨, 로봇교체
"[상품명]서빙로봇[신고자/연락처]오규원/010-9897-3793[문의(고장)내용]미납후 요금완료 했는데 움직이지 않는다고함[답변(진단)내용]점검요,ko사용중,전원리셋 동일[기타]","[상품명]서빙로봇[신고자/연락처]오규원/010-9897-3793[문의(고장)내용]미납후 요금완료 했는데 움직이지 않는다고함[답변(진단)내용]점검요,ko사용중,전원리셋 동일[기타]",양호
무선충전 않됨,무선충전 않됨,
로봇이 터치가 안되요,로봇이 터치가 안되요,양호
무선충전기 위치변경,무선충전기 위치변경,매핑 맵설정 작업
잦은 멈춤 현상으로 불편 함,잦은 멈춤 현상으로 불편 함,로봇 수시로 문제가 발생 고객 불만 고조
무한 로딩,무한 로딩,엘지전자에서 tx보드 교체
이동불가,이동불가,
서비스 장애 운행 불가,서비스 장애 운행 불가,재부팅 후 복구
usb모듈 불량으로 베어사방문수리예정,usb모듈 불량으로 베어사방문수리예정,usb모듈불량베어사점검
[상품명]서빙로봇[신고자/연락처]장용선 010-9449-7477[문의(고장)내용]로봇 동작이상 발생 한다심[답변(진단)내용]전원 리셋하면 될때도 있고 안될때가 더 많다시며 점검 요청 하심[기타],[상품명]서빙로봇[신고자/연락처]장용선 010-9449-7477[문의(고장)내용]로봇 동작이상 발생 한다심[답변(진단)내용]전원 리셋하면 될때도 있고 안될때가 더 많다시며 점검 요청 하심[기타],"리부팅후양호,와이파이모뎀정밀시험예정"
공기질 계속 나쁨 떠있음,공기질 계속 나쁨 떠있음,센서 클린실행
[상품명]방역로봇[신고자/연락처]권오율/01073908984[문의(고장)내용]화면 안들어옴/충전은 항상 시킴[답변(진단)내용]전원 OFF/ON해도 마찬가지[기타]퇴근시간6시인 관계로 통화후 점검일자 약속 잡으실것,[상품명]방역로봇[신고자/연락처]권오율/01073908984[문의(고장)내용]화면 안들어옴/충전은 항상 시킴[답변(진단)내용]전원 OFF/ON해도 마찬가지[기타]퇴근시간6시인 관계로 통화후 점검일자 약속 잡으실것,충전기점검
매장내위치변경,매장내위치변경,매장테이블위치변경
방역중 위치 틀어짐,방역중 위치 틀어짐,
테이블조정위치 틀어짐 방문점검 요청,테이블조정위치 틀어짐 방문점검 요청,
23일 목적지 점검후 사후케어,23일 목적지 점검후 사후케어,양호
23일 목적지 수정후 사후케어,23일 목적지 수정후 사후케어,양호
무선충전 불량,무선충전 불량,
로봇교체,로봇교체,
로봇 동작불,로봇 동작불,로봇재치
51번 테이블 부딧힘위치이동,51번 테이블 부딧힘위치이동,51번 위치이동 작업
고객 방문요청,고객 방문요청,장애물 제거
하라검진주냉면 긴급조치요청,하라검진주냉면 긴급조치요청,베어유니버스 서버 문제로 로봇 운행오작동.리부팅후 위치재설정후 정상동작
무선충전 불량,무선충전 불량,
멀티 2번로봇 터치스크린 다운,멀티 2번로봇 터치스크린 다운,긴급복구용 로봇투입 교체완료
로봇이 반복적으로 껏다켜진다함,로봇이 반복적으로 껏다켜진다함,전원케이블 빠짐
로봇 운행불가,로봇 운행불가,테이블 재배치로 맵설정작업
로봇1대 지속 장애,로봇1대 지속 장애,관제요청시 맵사이징조정처리로봇 증상 재발생으로 긴급복구용 교체
방역중 자주 멈춤현상,방역중 자주 멈춤현상,포인트 맵수정후 복구 완료
[저속급][야간긴급수배][상품명] 서빙로봇 bn!S0039477910 [신고자/연락처] 홍성대 010-4517-2635 [문의(고장)내용] 서빙로봇 테이블위치및 도착위치변경 [답변(진단)내용] 연후방 부탁드립니다[기타],[저속급][야간긴급수배][상품명] 서빙로봇 bn!S0039477910 [신고자/연락처] 홍성대 010-4517-2635 [문의(고장)내용] 서빙로봇 테이블위치및 도착위치변경 [답변(진단)내용] 연후방 부탁드립니다[기타],맵핑완료
3층로봇 원격연결안됨전원off상태,3층로봇 원격연결안됨전원off상태,
무선충전 불량,무선충전 불량,
전원 안들어옴,전원 안들어옴,전원부 불랑
사후케어,사후케어,위치변경
장애물 감지,장애물 감지,로봇위치 변경
로봇장애,로봇장애,서버오류
충전않됨,충전않됨,전원 어뎁터 재접촉
"[상품명]방역로봇[신고자/연락처]박홍석 010-7300-2669[문의(고장)내용]방역로봇 4대 사용중, 필터교체요청[답변(진단)내용]필터교체요청[기타]","[상품명]방역로봇[신고자/연락처]박홍석 010-7300-2669[문의(고장)내용]방역로봇 4대, 필터교체요청[답변(진단)내용]필터교체요청[기타]",멀티맵 시범적용 사업장 소모품 교체 오류로 인한 안내드림
[상품명]서빙로봇[신고자/연락처]금혜정 010-9254-4778[문의(고장)내용] wifi접속안됨[답변(진단)내용]방문 점검 요청 [기타],[상품명]서빙로봇[신고자/연락처]금혜정 010-9254-4778[문의(고장)내용] wifi접속안됨[답변(진단)내용]방문 점검 요청 [기타],단순고장
[상품명] : 서빙로봇[신고자/연락처] : 내부직원010-4220-9445[문의(고장)내용] : 기출동 장애접수요청[답변(진단)내용] : 비즈지원팀으로 수배접수[기타] :,[상품명] : 서빙로봇[신고자/연락처] : 내부직원010-4220-9445[문의(고장)내용] : 기출동 장애접수요청[답변(진단)내용] : 비즈지원팀으로 수배접수[기타] :,제조사 라이더 교체
전체점검,전체점검,미세먼지
충전기교체,충전기교체,
고객케어 및 주행테스트,고객케어 및 주행테스트,poi위치조정
베어로틱스 CS팀 이주희방역로봇 점검 결과 플라즈마모듈 불량으로 로봇 교체 요청,베어로틱스 CS팀 이주희방역로봇 점검 결과 플라즈마모듈 불량으로 로봇 교체 요청,로봇 교체
고객부주의로 로봇초기화,고객부주의로 로봇초기화,재작업후 정상
로봇 장애물 끼임 안움직임,로봇 장애물 끼임 안움직임,리부팅 후 로봇위치재배치
방역로봇 작동불,방역로봇 작동불,
전원 부팅 안됨,전원 부팅 안됨,로봇 완전 방전
전원 종종 꺼지고 로보캐어앱 연결 안됨,전원 종종 꺼지고 로보캐어앱 연결 안됨,"네트워크 오류 및 전원 꺼짐, 로보캐어 앱 로봇 연결안됨 수시 발생 - 버전업 및 재부팅 - 주행테스트 양호"
베어로틱스 CS팀 이주희방역로봇 점검 결과 플라즈마모듈 불량으로 로봇 교체 요청,베어로틱스 CS팀 이주희방역로봇 점검 결과 플라즈마모듈 불량으로 로봇 교체 요청,로봇 교체
[상품명] 베어로보틱스 서빙로봇_임대형[신고자/연락처] 우규하/010-6730-9400[문의(고장)내용] 위치를 잊어버려서 자꾸 멈추는 증상/이전에 원격으로 경로 세팅을 받았었음[답변(진단)내용] 비즈지원팀 접수[기타],[상품명] 베어로보틱스 서빙로봇_임대형[신고자/연락처] 우규하/010-6730-9400[문의(고장)내용] 위치를 잊어버려서 자꾸 멈추는 증상/이전에 원격으로 경로 세팅을 받았었음[답변(진단)내용] 비즈지원팀 접수[기타],
위치변경,위치변경,서빙대기 위치변경
오전에 로봇부팅시 wifi 연결정보 없어서 자주검색해서  wifi 연결한다고신고함,오전에 로봇부팅시 wifi 연결정보 없어서 자주검색해서  wifi 연결한다고신고함,sw버전 22.04.2상향
서빙 복귀 안됨,서빙 복귀 안됨,트레이 ToF센서 이물질 제거
wifi 인식불가,wifi 인식불가,로봇교체
멈춤 현상,멈춤 현상,민감도 조정
AI서빙로봇 빈번하게 멈춤현상,AI서빙로봇 빈번하게 멈춤현상,맵 새로 매핑및 테이블설정완료
베어서빙로봇 as특수수요 교체,베어서빙로봇 as특수수요 교체,as특수수요교체
사각트레이 패드교체 요청,사각트레이 패드교체 요청,사각트레이 패드 교체
[상품명]베어로보틱스 방역로봇[신고자/연락처]이기범 010 9898 3002[문의(고장)내용]필터 교체 요청함. [답변(진단)내용]24시간 기준 6개월 안내함. [기타],[상품명]베어로보틱스 방역로봇[신고자/연락처]이기범 010 9898 3002[문의(고장)내용]필터 교체 요청함. [답변(진단)내용]24시간 기준 6개월 안내함. [기타],
서빙로봇 충전안됨,서빙로봇 충전안됨,어댑터 재접속
로봇이  켜지지 않음,로봇이  켜지지 않음,소프트웨어 부팅에러
개통후 방역로봇 충전스테이션 충전불량,개통후 방역로봇 충전스테이션 충전불량,무선충전기불량
블랙화면 발생관련 로봇교체판정,블랙화면 발생관련 로봇교체판정,로봇교체
[상품명]서빙로봇[신고자/연락처]최한식 010-9163-5737[문의(고장)내용]1)바닥이 평지인데 로봇운행시 심하게 흔들림. 2)정해진 길로 가지않고 다른길로 가기도 함[답변(진단)내용]kt영업 이금희차장님 대신신고 010-2777-8070[기타],[상품명]서빙로봇[신고자/연락처]최한식 010-9163-5737[문의(고장)내용]1)바닥이 평지인데 로봇운행시 심하게 흔들림. 2)정해진 길로 가지않고 다른길로 가기도 함[답변(진단)내용]kt영업 이금희차장님 대신신고 010-2777-8070[기타],저속주행설정현재 정상 안내드림
로봇 위치 잃어버림,로봇 위치 잃어버림,로봇재배치 테이블 위치수정
일시정지 관련,일시정지 관련,일시정지로 포장해드림
[상품명]서빙로봇[신고자/연락처]고객/010-4877-5618[신고(고장)내용]갑자기 핸드폰과 연동 안됨[답변(진단)내용] [기타/추가연락처],[상품명]서빙로봇[신고자/연락처]고객/010-4877-5618[신고(고장)내용]갑자기 핸드폰과 연동 안됨[답변(진단)내용] [기타/추가연락처],핸드폰 재부팅 후 정상
운행중 속도저하,운행중 속도저하,
픽업장소 복귀 불가,픽업장소 복귀 불가,원격 재설정
로봇불량교체,로봇불량교체,
로봇 맥불일치 점검방문,로봇 맥불일치 점검방문,로봇 맥불일치 점검
고장 swap,고장 swap,
충전기교체,충전기교체,충전스테이션 교체
[상품명][신고자/연락처]이선옥0632115000[문의(고장)내용]오동작/장애물없는데도 장애물있다고 동작안하고 충전장소도 못찾아감[답변(진단)내용]충전장소에서 전원리셋 재부팅권했으나 해봣어도안된다하심/고객불만[기타],[상품명][신고자/연락처]이선옥0632115000[문의(고장)내용]오동작/장애물없는데도 장애물있다고 동작안하고 충전장소도 못찾아감[답변(진단)내용]충전장소에서 전원리셋 재부팅권했으나 해봣어도안된다하심/고객불만[기타],위치재설정 및 로봇케어 재설치
이동중 멈춤 회전현상,이동중 멈춤 회전현상,
멈춤현상,멈춤현상,라이다불량의심.ㅇpoc건대체
로봇불량교체,로봇불량교체,로봇교체
방역로봇 판매형 SWAP으로 수리분 임시분 재교체,방역로봇 판매형 SWAP으로 수리분 임시분 재교체,판매형 수리분 보드교체로 ID바뀜 추후 변경요청 진행
로봇hw불량,로봇hw불량,
로봇플라스틱바디 이음새부분 실리콘 패킹 떨어짐,로봇플라스틱바디 이음새부분 실리콘 패킹 떨어짐,로봇 케이스 수리
5번룸에 링고벨신규설치및테이블위치 일부변경요청,5번룸에 링고벨신규설치및테이블위치 일부변경요청,5번룸 링고벨설치및 테이블위치 일부변경
스케쥴방역 비정상,스케쥴방역 비정상,agant 업그레이드 완료함
서빙로봇 부팅불량,서빙로봇 부팅불량,AS용 로봇 임시교체
로봇작동 불가,로봇작동 불가,wifi 오류로 재 접속
로봇 오류 점검요함,로봇 오류 점검요함,속도조절
부팅이상,부팅이상,재부팅
판매형교체 db정리,판매형교체 db정리,
서빙으로 오지않음,서빙으로 오지않음,사용 미숙
위치동선변경 설변,위치동선변경 설변,위치 동선 변경으로 맵수정 적용
서빙대기위치 수정요청,서빙대기위치 수정요청,서빙대기위치변경요청
불량로봇 교체요청,불량로봇 교체요청,로봇교체요청
로봇오작동,로봇오작동,로봇위치잃어버림
로봇주행불가,로봇주행불가,방전
멥 수정,멥 수정,테이블 위치변경
로봇 잘 안움직임,로봇 잘 안움직임,wifi 안됨
[상품명]서빙로봇[신고자/연락처]김정아/010-6328-7491[문의(고장)내용]테이블 위치 변경으로 재셋팅요청[답변(진단)내용]테이블 위치변경 재셋팅요쳥[기타],[상품명]서빙로봇[신고자/연락처]김정아/010-6328-7491[문의(고장)내용]테이블 위치 변경으로 재셋팅요청[답변(진단)내용]테이블 위치변경 재셋팅요쳥[기타],
AI방역로봇 LTE 통신불량  현장확인 요망,AI방역로봇 LTE 통신불량  현장확인 요망,LTE수신불가 리부팅 수리
베어로봇 불량 교체,베어로봇 불량 교체,불량교체
베어서빙로봇 return  오류,베어서빙로봇 return  오류,로봇 리부팅 및 기타기능 설정
로봇불량 교체,로봇불량 교체,로봇 불량으로 교체
"[상품명] 서빙로봇[신고자/연락처] 최재국 010-8716-8874[문의(고장)내용]로봇이 이동하다 가다 멈추고 가다 멈추고 반복됨[답변(진단)내용] 리부팅동일,음식물 트레이밖으로 특별히 나오지않았다하심[기타]",[상품명] 서빙로봇[신고자/연락처] 최재국 010-8716-8874[문의(고장)내용]로봇이 이동하다 가다 멈추고 가다 멈추고 반복됨[답변(진단)내용] 리부팅동일[기타],
[상품명]베어로보틱스 서빙로봇[신고자/연락처]류현욱/01033345512[문의(고장)내용]장애물이 없는데도 로봇이 길이 막혔다고 나오며 움직이지 않음[답변(진단)]두 대 전부[기타],[상품명]베어로보틱스 서빙로봇[신고자/연락처]류현욱/01033345512[문의(고장)내용]장애물이 없는데도 로봇이 길이 막혔다고 나오며 움직이지 않음[답변(진단)]두 대 전부[기타],사용직원이 많음 조작교육을 해도 그사람이 쉬면 조작을 못함
선제적고객케어,선제적고객케어,선제적 고객케어 활동
이상증상점검요청,이상증상점검요청,
1층 ~ 4층 멀티멥 설정 요청,1층 ~ 4층 멀티멥 설정 요청,복층설치요망
로봇이 길을 잃음,로봇이 길을 잃음,이사온지 얼마안됨
로봇 교체후 음원변경및 단말 kos현행화,로봇 교체후 음원변경및 단말 kos현행화,판매형단말교체후 kos현행화
테이블이동,테이블이동,테이블이동
로봇 사용법 재안내 희망,로봇 사용법 재안내 희망,방역로봇 사용법 안내
AP점검,AP점검,AP 점검완료
무선AP 점검,무선AP 점검,AP 점검완료
테이블 6개소 위치 변경,테이블 6개소 위치 변경,금지구역 수정 및 POI 수정
LG서빙로봇 대기장소 위치 못 찾음,LG서빙로봇 대기장소 위치 못 찾음,위치바코드 훼손으로 대기장소 미인식.
선프라자 베어서빙로봇 as특수수요교체,선프라자 베어서빙로봇 as특수수요교체,as특수수요교체
화분 부분에서 아랫 부분에서 충돌 현상,화분 부분에서 아랫 부분에서 충돌 현상,금지구역 추가 및 노드 수정
"[상품명]서빙로봇[신고자/연락처]이인숙/010-4393-9592[문의(고장)내용]로봇작동불,멈춤발생[답변(진단)내용]먼저고객통화요[기타]kt직원 대리접수/010-3457-9981","[상품명]서빙로봇[신고자/연락처]이인숙/010-4393-9592[문의(고장)내용]로봇작동불,멈춤발생[답변(진단)내용]먼저고객통화요[기타]kt직원 대리접수/010-3457-9981",금지구역 조정 및 시험 등
로봇부팅불량교체요청,로봇부팅불량교체요청,서빙로봇교체
재매핑,재매핑,
방문점검,방문점검,
로봇 맵틀어짐,로봇 맵틀어짐,맵수정 및 재부팅
회피안됨,회피안됨,정상복구
위치이탈,위치이탈,일정부분 이동장애
로봇 교차운행 불가,로봇 교차운행 불가,로봇클리닝 및 위치재배치
로봇교차 운행불가,로봇교차 운행불가,로봇 클리닝 및 위치재배치
로봇멀티운용 오류,로봇멀티운용 오류,장애물오류밈 맵오류 재설정
[상품명]로봇[신고자/연락처]이해리 010-3015-3900[문의(고장)내용]로봇 작동불고객이 로봇을 수동으로 밀은후 앞을 볼 수 엇다는 맨트[답변(진단)내용]현장 점검요청[기타],[상품명]로봇[신고자/연락처]이해리 010-3015-3900[문의(고장)내용]로봇 작동불고객이 로봇을 수동으로 밀은후 앞을 볼 수 엇다는 맨트[답변(진단)내용]현장 점검요청[기타],
매장 리뉴얼 재맵핑,매장 리뉴얼 재맵핑,재맵핑
노드변경,노드변경,poi위치변경
poi위치변경,poi위치변경,노드변경
사용법 안내,사용법 안내,사용법 안내
로봇위치잃어버림,로봇위치잃어버림,로봇위치잃어버림
로봇에러코드발생002  cs004,로봇에러코드발생002  cs004,로봇에러발생
방역존 이탈,방역존 이탈,충전위치재배치
바코드 현행화작업,바코드 현행화작업,kos등록  현행화 작업
멀티주행확인,멀티주행확인,멀티주행 오류수정
노드변경,노드변경,노드변경
점검 부탁드립니다,점검 부탁드립니다,점검완료
목적지설정,목적지설정,노드변경
실개통후 스피크 불량으로  AS특수수요요청  당일교체작업진행,실개통후 스피크 불량으로  AS특수수요요청  당일교체작업진행,로봇불량으로AS특수수요 요청으로교체
퇴식장소변경,퇴식장소변경,서빙위치변경
매장입구 구조물변경 로봇 동ㅁ번변경요청,매장입구 구조물변경 로봇 동ㅁ번변경요청,로봇  위치 재설정
전원어뎁터 훼손,전원어뎁터 훼손,전원아답타 교체수리
태이블 위치변경으로 경로 수정 요청,태이블 위치변경으로 경로 수정 요청,경로추가
하드웨어 에러,하드웨어 에러,양호
서빙위치 오류,서빙위치 오류,수리로 위치 오류
사후케어,사후케어,사후케어
트레이 에러 방문,트레이 에러 방문,트레이 무게 에러로 점검 베어사 접수예정
방문점검,방문점검,파워재부팅 후 주행테스트
간혹 서빙후 돌아오지않음,간혹 서빙후 돌아오지않음,로봇운행 문제있음
로봇 led 매트릭스불량,로봇 led 매트릭스불량,
로봇충전상태오류,로봇충전상태오류,로봇충전방법오류
맵설정,맵설정,맵작성
대기장소 변경,대기장소 변경,대기장소변경
운행불가,운행불가,
미사용,미사용,미사용고객 재컨설팅
로봇교체,로봇교체,로봇불량 교체
멀티로봇 1대서비스 준비중에서 진행안됨초기화해도 동일현상으로poc교체,멀티로봇 1대서비스 준비중에서 진행안됨초기화해도 동일현상으로poc교체,ui보드칩셋교체
[상품명] 서빙로봇[신고자/연락처] 010-6662-3484[문의(고장)내용] 오작동[단변(진단)내용] 돌아오지 않는다고함[기타],[상품명] 서빙로봇[신고자/연락처] 010-6662-3484[문의(고장)내용] 오작동[단변(진단)내용] 돌아오지 않는다고함[기타],무게센서 초기화
테이블 6번등 도착불,테이블 6번등 도착불,"맵 수정,노드추가및 수정등"
[상품명]서빙로봇[신고자/연락처]김은정/01044886636[문의(고장)내용]로봇이 스케쥴에 딸라서 운행하지 않고 비정상적으로 동작함[답변(진단)내용]로봇 오동작으로 현장 점검요청드림[기타],[상품명]서빙로봇[신고자/연락처]김은정/01044886636[문의(고장)내용]로봇이 스케쥴에 딸라서 운행하지 않고 비정상적으로 동작함[답변(진단)내용]로봇 오동작으로 현장 점검요청드림[기타],테이블이동
방역로봇불량교체,방역로봇불량교체,로봇교체
맵 제설치 요청,맵 제설치 요청,
"[회선/단말특이사항]방역로봇[참고/연락처]장희윤/010-5661-2760[불편사항]로봇 멈춤, 23.1월 개통후 1주일 간격으로 멈춤. 현재는 사용 않함.[진단결과]엔지니어확인요.[기타]해지문의하여 영업대표(이남경) 통화하여 내용  문자 전달.","[회선/단말특이사항]방역로봇[참고/연락처]장희윤/010-5661-2760[불편사항]로봇 멈춤, 23.1월 개통후 1주일 간격으로 멈춤. 현재는 사용 않함.[진단결과]엔지니어확인요.[기타]해지문의하여 영업대표(이남경) 통화하여 내용  문자 전달.",
[상품명][신고자/연락처]조민수01028233082[문의(고장)내용]로봇이동불가/아예움직이질않음[답변(진단)내용]전원리셋초기화동일/현장점검요청/[기타],[상품명][신고자/연락처]조민수01028233082[문의(고장)내용]로봇이동불가/아예움직이질않음[답변(진단)내용]전원리셋초기화동일/현장점검요청/[기타],sw업데이트조치
[상품명]서빙로봇[신고자/연락처]김은정/01044886636[문의(고장)내용]로봇이 스케쥴에 딸라서 운행하지 않고 비정상적으로 동작함[답변(진단)내용]어제 방문 하시고 가셨는데 마찬가지라시며 불만 꼼꼼한 점검 요청 하심[기타],[상품명]서빙로봇[신고자/연락처]김은정/01044886636[문의(고장)내용]로봇이 스케쥴에 딸라서 운행하지 않고 비정상적으로 동작함[답변(진단)내용]어제 방문 하시고 가셨는데 마찬가지라시며 불만 꼼꼼한 점검 요청 하심[기타],테이블 추가 이동
교체,교체,SWAP 교체
점검,점검,로봇 및 차임벨 점검요청으로 시행
[상품명] 베어로보틱스[신고자/연락처] 010-3675-6916[문의(고장)내용]  작동불로 점검요청 /충전불[답변(진단)내용]  어뎁터 전원확인요청 /  원격불가 / [기타]내부고객요청 /,[상품명] 베어로보틱스[신고자/연락처] 010-3675-6916[문의(고장)내용]  작동불로 점검요청 /충전불[답변(진단)내용]  어뎁터 전원확인요청 /  원격불가 / [기타]내부고객요청 /,
비정상 주행,비정상 주행,상방카메라 이물질 제거위치조정2개소
오동작,오동작,wifi재설정
충전불가,충전불가,메인콘센트 접불하위측 멀티탭교체고객님께 메인콘센트 접불 알림
[상품명]LG서빙로봇[신고자/연락처]김주하/010-2295-4013[문의(고장)내용]테이블과 로봇거리가 멀어 재설정요청[답변(진단)내용]신고자 빠른 방문점검조치요청[기타],[상품명]LG서빙로봇[신고자/연락처]김주하/010-2295-4013[문의(고장)내용]테이블과 로봇거리가 멀어 재설정요청[답변(진단)내용]신고자 빠른 방문점검조치요청[기타],
무선충전 안됨,무선충전 안됨,무선충전기 불량
포인트조정,포인트조정,픽업포인트 조정
[상품명]서빙로봇[신고자/연락처]kt이영규/010-9779-7775[문의(고장)내용]주행중 멈춤현상[답변(진단)내용]현장점검요망[기타],[상품명]서빙로봇[신고자/연락처]kt이영규/010-9779-7775[문의(고장)내용]주행중 멈춤현상[답변(진단)내용]현장점검요망[기타],테이블 변경
21번 눌렀는데 2번으로 간다고 긴급방문처리 요청,21번 눌렀는데 2번으로 간다고 긴급방문처리 요청,사용미숙
멀티로봇 줄서기 기능 안됨두대모두서빙대기로 이동됨,멀티로봇 줄서기 기능 안됨두대모두서빙대기로 이동됨,AP 교체
로봇1대  멈춤현상이물질 제거후  정상작동,로봇1대  멈춤현상이물질 제거후  정상작동,로봇 멈춤현상
충전대기위치 변경요청,충전대기위치 변경요청,
테이블 이동 점검요청,테이블 이동 점검요청,"금지구역,서빙포인트 수정"
테이블이동,테이블이동,테이블이동
무선충전기 위치 변경,무선충전기 위치 변경,무선충전기 위치 변경함
로봇 작동이 안됨,로봇 작동이 안됨,
위치틀어짐,위치틀어짐,위치재배치
야간 자가진단 재부팅후오루발생,야간 자가진단 재부팅후오루발생,수동초기화 및 위치재배치 수리
글씨폰트 및 SW점검,글씨폰트 및 SW점검,방문취소
방역로봇 주행불량 교체요청,방역로봇 주행불량 교체요청,로봇 교체
로봇 부팅불량swap,로봇 부팅불량swap,
16번 17번 테이블 위치 보정,16번 17번 테이블 위치 보정,"16번, 17번 위치 보정"
공기질수치 나쁨,공기질수치 나쁨,
로봇동선수정,로봇동선수정,
[상품명]서빙로봇[신고자/연락처]김정아/010-6328-7491[문의(고장)내용]대기장소 위치변경요청[답변(진단)내용]대기장소 위치변경 재셋팅요쳥/ 금일 요청하십니다.[기타],[상품명]서빙로봇[신고자/연락처]김정아/010-6328-7491[문의(고장)내용]대기장소 위치변경요청[답변(진단)내용]대기장소 위치변경 재셋팅요쳥/ 금일 요청하십니다.[기타],"대기장소변경,대기줄적용"
로봇 방역 주행시 탄 냄새 발생,로봇 방역 주행시 탄 냄새 발생,로봇 불량
로봇 초기화 오류발생 바퀴쪽,로봇 초기화 오류발생 바퀴쪽,로봇초기화오류 구동계부분
동작불,동작불,
로봇 장애,로봇 장애,로봇재부팅
주행중오류,주행중오류,맵 재구성
대기장소변경,대기장소변경,대장소변경
멀티로봇 줄서기 기능 오류,멀티로봇 줄서기 기능 오류,일방통행 설정
방문요청,방문요청,퇴식시 테이블이동됨
서빙후 복귀실패,서빙후 복귀실패,복귀(수동=>자동)변경 설정함
로봇 일부주행불가,로봇 일부주행불가,매장내테이블변경
19번 근처테이블 간헐적 오류,19번 근처테이블 간헐적 오류,node 및 금지구역 수정
[상품명]로봇[신고자/연락처]이주영 /010-9779-7775[문의(고장)내용]주행멈춤[답변(진단)내용]방문점검요청 [기타],[상품명]로봇[신고자/연락처]이주영 /010-9779-7775[문의(고장)내용]주행멈춤[답변(진단)내용]방문점검요청 [기타],가벽설치 및 테이블 변경으로 목적지 못찾음
장애물감지,장애물감지,노드재설정
멀티로봇서빙대기장소일방통행오류,멀티로봇서빙대기장소일방통행오류,일방통해오류
멀티로봇일방통행오류,멀티로봇일방통행오류,일방통해오류
주행불가로 현장출동요청,주행불가로 현장출동요청,라이더틀어짐.사용미숙
"[상품명]서비스로봇2[신고자/연락처]사모님/010-8976-6497[문의(고장)내용]대기자리 에러, 주행도중 장애인식, 트로이 1개 빼달라고함.[답변(진단)내용]엔지니어확인요.[기타]영업점(장갑수/010-3027-4003)","[상품명]서비스로봇2[신고자/연락처]사모님/010-8976-6497[문의(고장)내용]대기자리 에러, 주행도중 장애인식, 트로이 1개 빼달라고함.[답변(진단)내용]엔지니어확인요.[기타]영업점(장갑수/010-3027-4003)",
주방의 장애물들을 음직여서맵수정요청,주방의 장애물들을 음직여서맵수정요청,맵재설정
충전불량,충전불량,
[상품명]로봇[신고자/연락처]010 2823 3082[문의(고장)내용]로봇이동오류[답변(진단)내용]전원리셋초기화동일/현장점검요청/[기타],[상품명]로봇[신고자/연락처]010 2823 3082[문의(고장)내용]로봇이동오류[답변(진단)내용]전원리셋초기화동일/현장점검요청/[기타],재배치
3대가 주방으로 들어온다고 긴급조치 요청,3대가 주방으로 들어온다고 긴급조치 요청,사용미숙
[상품명]서빙로봇[신고자/연락처]010-9959-6971/점장님[문의(고장)내용]원하는 자리로 이동안됨  재부팅 /대기 위치에서 시작해도 안됨  금일 방문수리 요청하심[답변(진단)내용][기타]영업대표 010-6770-5670 접수 요청,[상품명]서빙로봇[신고자/연락처]010-9959-6971/점장님[문의(고장)내용]원하는 자리로 이동안됨  재부팅 /대기 위치에서 시작해도 안됨  금일 방문수리 요청하심[답변(진단)내용][기타]영업대표 010-6770-5670 접수 요청,버젼업 다운(22.02.7)
"[상품명] 베어로보틱스 서빙로봇[신고자/연락처] 031-707-6613[문의(고장)내용] 테이블 위치를 못 찾고 있음(5월 4일 점검 받고 난 뒤로 동일 증상 반복, 3일째 사용을 못하고 있음)[답변(진단)내용 ] 현장점검접수[기타] 익일 오전 중 방문 희망","[상품명] 베어로보틱스 서빙로봇[신고자/연락처] 031-707-6613[문의(고장)내용] 테이블 위치를 못 찾고 있음(5월 4일 점검 받고 난 뒤로 동일 증상 반복, 3일째 사용을 못하고 있음)[답변(진단)내용 ] 현장점검접수[기타] 익일 오전 중 방문 희망","옺ㄴ 로봇 방전으로 작업불가, 오후방문 테이블위치 7개소 위치변경으로 맵재설정 및 시험 등"
서빙후 자동복귀 안함,서빙후 자동복귀 안함,원격 무게센서 교육
방역로봇 장애멈춤,방역로봇 장애멈춤,맵 다시 그리고 방역존 설정함
swap교체,swap교체,swap
로봇swap액정꺼짐,로봇swap액정꺼짐,액정불량교체
위치 확인,위치 확인,고객사용미숙
운영장소 및 이동장소 변경,운영장소 및 이동장소 변경,운영장소 변경방법 안내
테이블 위치 변경,테이블 위치 변경,테이블 위치변경
목적지 위치 못찾음,목적지 위치 못찾음,"충전소재배치및 테이블재설정,와이파이점검"
서빙대기 위치미세조정요청,서빙대기 위치미세조정요청,서빙대기위치 조정
주행오류,주행오류,맵 수정
POC사후케어,POC사후케어,POC사후캐어
위치 및 동선변경 요청,위치 및 동선변경 요청,목적지추가
위치 및 동선변경 요청,위치 및 동선변경 요청,목적지 추가
경로설정,경로설정,사용법안내
